Reg_Dis,total_capacity_GW,total_energy_TWh,suitable_area_km2
North Coast Regional District,0.05329534803008432,0.051408377227690726,1.2149940606928766
Regional District of Mount Waddington,0.166382954985849,0.17579364018782667,3.181484447812814
Northern Rockies Regional Municipality,0.2522197740852985,0.31452186268900295,6.683367329414077
Sunshine Coast Regional District,0.38788173466464304,0.47899572068717583,7.416863743832261
qathet Regional District,0.49434799893007764,0.6123887252961919,9.452653792193992
Regional District of Kitimat-Stikine,1.0539672242407196,1.0960784497824978,24.117182106949564
Capital Regional District,0.9142355071136071,1.1692544988788558,17.481514544368945
Strathcona Regional District,1.3431599395856493,1.6026257610016508,25.683174451856466
Comox Valley Regional District,1.5665414118237448,1.89638227477045,29.954553571883974
Regional District of Alberni-Clayoquot,1.7549518697611286,2.0568617251636616,33.557235960738396
Regional District of Central Kootenay,1.6811973887249188,2.1000642453014384,32.14694285473385
Regional District of Central Okanagan,1.7731669202788207,2.297215896767264,33.90553425813966
Columbia Shuswap Regional District,2.251935638274351,2.692474684005879,43.06028950654601
Regional District of Kootenay Boundary,2.146787258801635,2.7703213738818984,41.049699335013
Cowichan Valley Regional District,2.5142417791905856,3.0757368592519803,48.075964988218836
Regional District of Nanaimo,2.5928441935688706,3.143401255335848,49.57895764107995
Regional District of Okanagan-Similkameen,3.310479530108789,4.387495510406014,63.3011905620955
Squamish-Lillooet Regional District,3.630819669184539,4.652082516660988,69.42656061918082
Regional District of Fraser-Fort George,4.76567002084924,5.800808715127975,108.64476890713651
Regional District of North Okanagan,5.475387704799865,6.830239189439869,104.69738820330392
Cariboo Regional District,7.380628121844346,9.512145395187389,150.90946230285726
Regional District of Bulkley-Nechako,8.037964911861975,9.722987733400068,183.24450423810447
Metro Vancouver Regional District,8.096707623337602,10.092628948309024,154.82084318268605
Fraser Valley Regional District,9.813299632188892,11.737398565821362,187.64458272899125
Peace River Regional District,10.187724023589118,13.261498964302799,245.67719904570643
Regional District of East Kootenay,24.09799409427205,32.00783926816331,460.7887475068116
Thompson-Nicola Regional District,37.0634858795941,48.831695985991395,708.7078355934199
