"district_id","district_name","class","cell_count","total_cells","proportion","Area_km2"
1,"Regional District of Alberni-Clayoquot","Class 1",48503,773574,0.0626998839154367,43.65
1,"Regional District of Alberni-Clayoquot","Class 2",434438,773574,0.561598502534987,390.99
1,"Regional District of Alberni-Clayoquot","Class 3",236099,773574,0.305205448993891,212.49
1,"Regional District of Alberni-Clayoquot","Class 4",53149,773574,0.0687057734618795,47.83
1,"Regional District of Alberni-Clayoquot","Class 5",1385,773574,0.00179039109380615,1.25
2,"Comox Valley Regional District","Class 1",6241,365185,0.0170899680983611,5.62
2,"Comox Valley Regional District","Class 2",155711,365185,0.42638936429481,140.14
2,"Comox Valley Regional District","Class 3",155663,365185,0.426257924065884,140.1
2,"Comox Valley Regional District","Class 4",45803,365185,0.125424100113641,41.22
2,"Comox Valley Regional District","Class 5",1767,365185,0.00483864342730397,1.59
3,"Cowichan Valley Regional District","Class 1",11655,676007,0.0172409457298519,10.49
3,"Cowichan Valley Regional District","Class 2",321999,676007,0.476324949297862,289.8
3,"Cowichan Valley Regional District","Class 3",257363,676007,0.380710554772362,231.63
3,"Cowichan Valley Regional District","Class 4",81752,676007,0.120933658970987,73.58
3,"Cowichan Valley Regional District","Class 5",3238,676007,0.00478989122893698,2.91
4,"Regional District of Nanaimo","Class 1",6483,481749,0.0134572152718532,5.83
4,"Regional District of Nanaimo","Class 2",168229,481749,0.349204668821316,151.41
4,"Regional District of Nanaimo","Class 3",216842,481749,0.450114063547615,195.16
4,"Regional District of Nanaimo","Class 4",86030,481749,0.178578471361643,77.43
4,"Regional District of Nanaimo","Class 5",4165,481749,0.00864558099757342,3.75
5,"qathet Regional District","Class 1",666826,1081410,0.616626441405203,600.14
5,"qathet Regional District","Class 2",327860,1081410,0.303178258014999,295.07
5,"qathet Regional District","Class 3",67909,1081410,0.0627967190982144,61.12
5,"qathet Regional District","Class 4",17976,1081410,0.0166227425305851,16.18
5,"qathet Regional District","Class 5",839,1081410,0.000775838950999158,0.76
6,"Strathcona Regional District","Class 1",1365349,3181353,0.429172430723658,1228.81
6,"Strathcona Regional District","Class 2",1575417,3181353,0.495203455888108,1417.87
6,"Strathcona Regional District","Class 3",193244,3181353,0.0607427091555071,173.92
6,"Strathcona Regional District","Class 4",46647,3181353,0.0146626293907026,41.98
6,"Strathcona Regional District","Class 5",696,3181353,0.000218774842024761,0.63
7,"Regional District of Bulkley-Nechako","Class 1",3806505,23389177,0.162746427546382,3425.84
7,"Regional District of Bulkley-Nechako","Class 2",15302368,23389177,0.654249955011243,13772.06
7,"Regional District of Bulkley-Nechako","Class 3",4023706,23389177,0.172032816716894,3621.32
7,"Regional District of Bulkley-Nechako","Class 4",251115,23389177,0.0107363760597476,226
7,"Regional District of Bulkley-Nechako","Class 5",5483,23389177,0.000234424665733215,4.93
8,"Cariboo Regional District","Class 1",1193108,23491616,0.0507886728609901,1073.79
8,"Cariboo Regional District","Class 2",13669349,23491616,0.58188202122834,12302.35
8,"Cariboo Regional District","Class 3",8381235,23491616,0.356775583254894,7543.07
8,"Cariboo Regional District","Class 4",231728,23491616,0.00986428519860021,208.55
8,"Cariboo Regional District","Class 5",16196,23491616,0.000689437457176211,14.58
9,"Regional District of Fraser-Fort George","Class 1",3808525,12086930,0.315094486358405,3427.66
9,"Regional District of Fraser-Fort George","Class 2",6505892,12086930,0.538258432869223,5855.27
9,"Regional District of Fraser-Fort George","Class 3",1599573,12086930,0.132339063765572,1439.61
9,"Regional District of Fraser-Fort George","Class 4",167704,12086930,0.0138748218116594,150.93
9,"Regional District of Fraser-Fort George","Class 5",5236,12086930,0.000433195195140536,4.71
10,"Regional District of Kitimat-Stikine","Class 1",21202601,34068346,0.622354868651387,19082.25
10,"Regional District of Kitimat-Stikine","Class 2",12550809,34068346,0.368400890374895,11295.67
10,"Regional District of Kitimat-Stikine","Class 3",275047,34068346,0.00807338871103399,247.54
10,"Regional District of Kitimat-Stikine","Class 4",39472,34068346,0.00115861216156487,35.52
10,"Regional District of Kitimat-Stikine","Class 5",417,34068346,1.22401011190857e-05,0.38
11,"Peace River Regional District","Class 1",12667482,29857235,0.424268422712284,11400.68
11,"Peace River Regional District","Class 2",11453085,29857235,0.383594964503578,10307.73
11,"Peace River Regional District","Class 3",5376649,29857235,0.180078597365094,4838.96
11,"Peace River Regional District","Class 4",343228,29857235,0.0114956391641758,308.9
11,"Peace River Regional District","Class 5",16791,29857235,0.000562376254867539,15.11
12,"Central Coast Regional District","Class 1",3835401,5473443,0.700729138861956,3451.84
12,"Central Coast Regional District","Class 2",1473727,5473443,0.269250451680962,1326.35
12,"Central Coast Regional District","Class 3",164315,5473443,0.0300204094570821,147.88
12,"Central Coast Regional District","Class 4",0,5473443,0,0
12,"Central Coast Regional District","Class 5",0,5473443,0,0
13,"Stikine Region (Unincorporated)","Class 1",24224825,46719210,0.518519576850722,21802.24
13,"Stikine Region (Unincorporated)","Class 2",22015258,46719210,0.471224962922104,19813.64
